"y4_hhid","cluster","strata","hhweight","region","district","ward","village","ea","month","quarter","urban","area","mainland","femalehead","hhsize","adulteq","intyear","intmonth","nf_clothing","nf_utilities","nf_hhexpenses","nf_transport","nf_communic","nf_recreat","nf_other","dur_exp","rent_exp","foodIN","foodOUT","educa","health","expm","fisherb4c4","foodINR_pae","foodOUTR_pae","educaR_pae","healthR_pae","nf_clothingR_pae","nf_utilitiesR_pae","nf_hhexpensesR_pae","nf_transportR_pae","nf_communicR_pae","nf_recreatR_pae","nf_otherR_pae","dur_expR_pae","rent_expR_pae","expmR_pae"
"6631-001",160808206336,2,2425.23413085938,16,8,82,5,5,9,3,2,2,1,0,5,3.91999998688698,2015,6,121000,42000,24000,0,84000,0,78000,9039.64293046139,104171.3046875,1272578.5,358800,50500,39000,2183089.5,1.00564885139465,24763.802734375,6982.08544921875,982.707153320313,758.92236328125,2354.60522460938,817.301025390625,467.029144287109,0,1634.60205078125,0,1517.8447265625,175.907363891602,2027.12646484375,42481.93359375
"4102-001",220103196672,2,2514.26684570313,22,1,32,1,8,8,3,2,2,1,0,4,3.11999997496605,2014,9,673000,365200,54000,156000,540000,25000,110400,159410.867522747,793414.1875,2077400,1508000,88000,405600,6955425,1.00564885139465,50790.71484375,36869.35546875,2151.52734375,9916.5859375,16454.294921875,8928.8388671875,1320.25549316406,3814.0712890625,13202.5546875,611.229370117188,2699.18896484375,3897.46435546875,19398.322265625,170054.40625
"7139-001",200509210624,2,4265.13037109375,20,5,92,4,1,9,3,2,2,1,1,7,6.04000002145767,2015,6,128000,443200,115200,291200,0,3000,192000,24366.7785222823,240000,2500333.25,873600,475000,578500,5864400,1.00564885139465,31577.646484375,11033.0224609375,5998.953125,7306.09375,1616.56005859375,5597.3388671875,1454.90405273438,3677.67407226563,0,37.888126373291,2424.84008789063,307.737182617188,3031.05004882813,74063.7109375
"8244-001",150312304640,2,3896.208984375,15,3,123,1,301,9,3,2,2,1,1,2,1.75999999046326,2015,6,0,149200,31000,0,24000,0,54000,2055.52636766167,84000,1347320,0,24900,19500,1735975.5,1.00564885139465,58395.1640625,0,1079.20886230469,845.163513183594,0,6466.58447265625,1343.59326171875,0,1040.20129394531,0,2340.45288085938,89.0900497436523,3640.70434570313,75240.1640625
"8147-001",60105302016,2,6321.302734375,6,1,53,2,305,8,3,2,2,1,1,5,4.48000001907349,2015,5,183000,434800,291000,0,156000,0,180000,67181.9883907794,573172.8125,6115200,1092000,233000,104000,9429355,1.00564885139465,104124.1484375,18593.59765625,3967.31518554688,1770.81884765625,3115.9599609375,7403.384765625,4954.88720703125,0,2656.22827148438,0,3064.87866210938,1143.91467285156,9759.47265625,160554.609375
"7955-001",190306205696,2,6134.98779296875,19,3,62,2,6,9,3,2,2,1,1,2,1.87999999523163,2015,6,360000,96800,136000,364000,240000,0,163400,6055.53580554619,180000,715000,4310800,0,0,6572055.5,1.00564885139465,29011.287109375,174911.6875,0,0,14607.08203125,3927.68188476563,5518.23095703125,14769.3828125,9738.0546875,0,6629.9921875,245.704742431641,7303.541015625,266662.65625
"7708-001",50516201472,2,1908.27099609375,5,5,162,3,2,7,3,2,2,1,1,2,1.43999999761581,2015,4,80000,435200,196500,738400,144000,0,64800,29551.1045623337,300000,2477800,0,0,58500,4524751,1.00564885139465,131257.03125,0,0,3098.93286132813,4237.85693359375,23053.94140625,10409.236328125,39115.421875,7628.142578125,0,3432.66430664063,1565.4169921875,15891.9638671875,239690.59375
"6664-001",30216302592,2,2884.11450195313,3,2,163,2,302,9,3,2,2,1,1,3,2.48000001907349,2015,6,16000,14000,0,0,42000,0,93600,12316.0410254076,87418.9609375,1238640,0,0,0,1503975,1.00564885139465,38098.8828125,0,0,0,492.138244628906,430.620941162109,0,0,1291.86291503906,0,2879.00854492188,378.824676513672,2688.88818359375,46260.2265625
"8001-001",190425219072,2,3225.09790039063,19,4,252,14,4,9,3,2,2,1,0,3,2.28000000119209,2015,6,55000,116800,500,0,108000,0,48000,15570.0144980333,60000,943944.4375,0,0,78000,1425814.5,1.00564885139465,31581.328125,0,0,2609.62768554688,1840.1220703125,3907.75024414063,16.7283821105957,0,3613.33081054688,0,1605.9248046875,520.922302246094,2007.40600585938,47703.140625
"7143-001",200509210624,2,4265.13037109375,20,5,92,4,1,9,3,2,2,1,0,7,4.19999998807907,2015,6,89000,329200,43000,0,120000,0,112000,23741.7557886895,180000,3099200,0,0,0,3996141.75,1.00564885139465,56288.4296875,0,0,0,1616.43969726563,5979.0107421875,780.976501464844,0,2179.46923828125,0,2034.17138671875,431.203582763672,3269.2041015625,72578.90625
